Variables,Values,Ambient,Diffuse,Offshore,Transition
Silicate,5.04,NA,5.04,NA,NA
Silicate,5.21,NA,5.21,NA,NA
Silicate,5.29,NA,5.29,NA,NA
Silicate,5.43,NA,5.43,NA,NA
Silicate,5.54,NA,5.54,NA,NA
Silicate,5.78,NA,5.78,NA,NA
Silicate,6.58,NA,6.58,NA,NA
Silicate,6.85,NA,6.85,NA,NA
Silicate,7.5,NA,7.5,NA,NA
Silicate,7.59,NA,7.59,NA,NA
Silicate,7.68,NA,7.68,NA,NA
Silicate,10.51,NA,10.51,NA,NA
Silicate,10.78,NA,10.78,NA,NA
Silicate,15.04,NA,15.04,NA,NA
Silicate,15.37,NA,15.37,NA,NA
Silicate,17.53,NA,17.53,NA,NA
Silicate,23.1,NA,23.1,NA,NA
Silicate,23.68,NA,23.68,NA,NA
Silicate,44.66,NA,44.66,NA,NA
Silicate,45.88,NA,45.88,NA,NA
Silicate,51.67,NA,51.67,NA,NA
Silicate,52.81,NA,52.81,NA,NA
Silicate,56.31,NA,56.31,NA,NA
Silicate,58.51,NA,58.51,NA,NA
Silicate,126.47,NA,126.47,NA,NA
Silicate,151.37,NA,151.37,NA,NA
TA,2129.366609,NA,2129.366609,NA,NA
TA,2151.825559,NA,2151.825559,NA,NA
TA,2189.458388,NA,2189.458388,NA,NA
TA,2206.974224,NA,2206.974224,NA,NA
TA,2207.789729,NA,2207.789729,NA,NA
TA,2212.273427,NA,2212.273427,NA,NA
TA,2212.963581,NA,2212.963581,NA,NA
TA,2213.643995,NA,2213.643995,NA,NA
TA,2216.7581,NA,2216.7581,NA,NA
TA,2219.513637,NA,2219.513637,NA,NA
TA,2220.335875,NA,2220.335875,NA,NA
TA,2227.731898,NA,2227.731898,NA,NA
TA,2227.978151,NA,2227.978151,NA,NA
TA,2231.540629,NA,2231.540629,NA,NA
TA,2231.928785,NA,2231.928785,NA,NA
TA,2234.152534,NA,2234.152534,NA,NA
TA,2234.700866,NA,2234.700866,NA,NA
TA,2237.131953,NA,2237.131953,NA,NA
TA,2237.72937,NA,2237.72937,NA,NA
TA,2238.532837,NA,2238.532837,NA,NA
TA,2239.283896,NA,2239.283896,NA,NA
TA,2240.714341,NA,2240.714341,NA,NA
TA,2240.889093,NA,2240.889093,NA,NA
TA,2241.211157,NA,2241.211157,NA,NA
TA,2242.012856,NA,2242.012856,NA,NA
TA,2244.687113,NA,2244.687113,NA,NA
TA,2245.596857,NA,2245.596857,NA,NA
TA,2245.851148,NA,2245.851148,NA,NA
TA,2247.179605,NA,2247.179605,NA,NA
TA,2249.646663,NA,2249.646663,NA,NA
TA,2250.3368,NA,2250.3368,NA,NA
TA,2251.264292,NA,2251.264292,NA,NA
TA,2251.863751,NA,2251.863751,NA,NA
TA,2252.364904,NA,2252.364904,NA,NA
TA,2253.270607,NA,2253.270607,NA,NA
TA,2254.602485,NA,2254.602485,NA,NA
TA,2254.849699,NA,2254.849699,NA,NA
TA,2256.437492,NA,2256.437492,NA,NA
TA,2257.603516,NA,2257.603516,NA,NA
TA,2258.76146,NA,2258.76146,NA,NA
TA,2259.329722,NA,2259.329722,NA,NA
TA,2259.562288,NA,2259.562288,NA,NA
TA,2263.486124,NA,2263.486124,NA,NA
TA,2265.354907,NA,2265.354907,NA,NA
TA,2266.414651,NA,2266.414651,NA,NA
TA,2266.833129,NA,2266.833129,NA,NA
TA,2266.862576,NA,2266.862576,NA,NA
TA,2270.401798,NA,2270.401798,NA,NA
TA,2273.407056,NA,2273.407056,NA,NA
TA,2280.920815,NA,2280.920815,NA,NA
TA,2281.618209,NA,2281.618209,NA,NA
TA,2283.485901,NA,2283.485901,NA,NA
TA,2284.103997,NA,2284.103997,NA,NA
TA,2284.136728,NA,2284.136728,NA,NA
TA,2284.913361,NA,2284.913361,NA,NA
TA,2288.464523,NA,2288.464523,NA,NA
TA,2289.515865,NA,2289.515865,NA,NA
TA,2291.859351,NA,2291.859351,NA,NA
TA,2295.977644,NA,2295.977644,NA,NA
TA,2300.599272,NA,2300.599272,NA,NA
TA,2303.486119,NA,2303.486119,NA,NA
TA,2305.157053,NA,2305.157053,NA,NA
TA,2308.961939,NA,2308.961939,NA,NA
TA,2327.839765,NA,2327.839765,NA,NA
Temp_in,23.26102354,NA,23.26102354,NA,NA
Temp_in,23.51966167,NA,23.51966167,NA,NA
Temp_in,23.61317188,NA,23.61317188,NA,NA
Temp_in,23.65167304,NA,23.65167304,NA,NA
Temp_in,23.6523039,NA,23.6523039,NA,NA
Temp_in,23.65293476,NA,23.65293476,NA,NA
Temp_in,23.72550249,NA,23.72550249,NA,NA
Temp_in,23.74387241,NA,23.74387241,NA,NA
Temp_in,23.74796861,NA,23.74796861,NA,NA
Temp_in,23.7800959,NA,23.7800959,NA,NA
Temp_in,23.80041662,NA,23.80041662,NA,NA
Temp_in,23.80725669,NA,23.80725669,NA,NA
Temp_in,23.82914525,NA,23.82914525,NA,NA
Temp_in,23.87418146,NA,23.87418146,NA,NA
Temp_in,23.87550248,NA,23.87550248,NA,NA
Temp_in,23.8898623,NA,23.8898623,NA,NA
Temp_in,23.97824596,NA,23.97824596,NA,NA
Temp_in,23.9802397,NA,23.9802397,NA,NA
Temp_in,24.00516582,NA,24.00516582,NA,NA
Temp_in,24.00713255,NA,24.00713255,NA,NA
Temp_in,24.05007101,NA,24.05007101,NA,NA
Temp_in,24.08231046,NA,24.08231046,NA,NA
Temp_in,24.45273464,NA,24.45273464,NA,NA
Temp_in,24.50343263,NA,24.50343263,NA,NA
Temp_in,24.61700769,NA,24.61700769,NA,NA
Temp_in,25.04213669,NA,25.04213669,NA,NA
Temp_in,25.21517828,NA,25.21517828,NA,NA
Temp_in,25.28877011,NA,25.28877011,NA,NA
Temp_in,25.30033536,NA,25.30033536,NA,NA
Temp_in,25.30856245,NA,25.30856245,NA,NA
Temp_in,25.35710456,NA,25.35710456,NA,NA
Temp_in,25.36276525,NA,25.36276525,NA,NA
Temp_in,25.41696805,NA,25.41696805,NA,NA
Temp_in,25.44160305,NA,25.44160305,NA,NA
Temp_in,25.46793771,NA,25.46793771,NA,NA
Temp_in,25.4691375,NA,25.4691375,NA,NA
Temp_in,25.47615229,NA,25.47615229,NA,NA
Temp_in,25.48436687,NA,25.48436687,NA,NA
Temp_in,25.5396418,NA,25.5396418,NA,NA
Temp_in,25.5747585,NA,25.5747585,NA,NA
Temp_in,25.57880871,NA,25.57880871,NA,NA
Temp_in,25.65082403,NA,25.65082403,NA,NA
Temp_in,25.65252817,NA,25.65252817,NA,NA
Temp_in,25.67325055,NA,25.67325055,NA,NA
Temp_in,25.76804737,NA,25.76804737,NA,NA
Temp_in,25.82009286,NA,25.82009286,NA,NA
Temp_in,25.83356331,NA,25.83356331,NA,NA
Temp_in,25.89532258,NA,25.89532258,NA,NA
Temp_in,25.95708185,NA,25.95708185,NA,NA
Temp_in,26.08314479,NA,26.08314479,NA,NA
Temp_in,26.42200645,NA,26.42200645,NA,NA
Temp_in,26.60597928,NA,26.60597928,NA,NA
Temp_in,26.78995211,NA,26.78995211,NA,NA
Temp_in,26.97355833,NA,26.97355833,NA,NA
Temp_in,27.16259166,NA,27.16259166,NA,NA
Temp_in,27.27202689,NA,27.27202689,NA,NA
Temp_in,27.3170607,NA,27.3170607,NA,NA
Temp_in,27.42211556,NA,27.42211556,NA,NA
Temp_in,27.48360478,NA,27.48360478,NA,NA
Temp_in,27.48468849,NA,27.48468849,NA,NA
Temp_in,27.65231627,NA,27.65231627,NA,NA
pH,7.865,NA,7.865,NA,NA
pH,7.868,NA,7.868,NA,NA
pH,7.901,NA,7.901,NA,NA
pH,7.906,NA,7.906,NA,NA
pH,7.908,NA,7.908,NA,NA
pH,7.915,NA,7.915,NA,NA
pH,7.916,NA,7.916,NA,NA
pH,7.928,NA,7.928,NA,7.928
pH,7.929,NA,7.929,NA,NA
pH,7.931,NA,7.931,NA,NA
pH,7.94,NA,7.94,NA,NA
pH,7.943,NA,7.943,NA,NA
pH,7.944,NA,7.944,NA,NA
pH,7.948,NA,7.948,NA,7.948
pH,7.953,NA,7.953,NA,NA
pH,7.954,NA,7.954,NA,NA
pH,7.956,NA,7.956,NA,NA
pH,7.959,NA,7.959,NA,NA
pH,7.964,NA,7.964,NA,7.964
pH,7.969,NA,7.969,NA,NA
pH,7.97,NA,7.97,NA,7.97
pH,7.972,NA,7.972,NA,NA
pH,7.978,NA,7.978,NA,NA
pH,7.982,NA,7.982,NA,NA
pH,7.993,NA,7.993,NA,NA
pH,7.995,NA,7.995,7.995,7.995
pH,7.999,NA,7.999,NA,NA
pH,8.002,NA,8.002,NA,NA
pH,8.008,NA,8.008,NA,8.008
pH,8.012,NA,8.012,NA,NA
pH,8.019,NA,8.019,NA,NA
pH,8.03,NA,8.03,8.03,NA
pH,8.042,NA,8.042,NA,NA
pH,8.048,NA,8.048,NA,NA
pH,8.062,NA,8.062,NA,NA
pH,8.072,NA,8.072,NA,NA
pH,8.075,NA,8.075,NA,NA
pH,8.079,NA,8.079,NA,8.079
pH,8.083,NA,8.083,NA,NA
pH,8.094,NA,8.094,NA,8.094
pH,8.096,NA,8.096,NA,8.096
pH,8.109,NA,8.109,NA,NA
pH,8.111,NA,8.111,NA,NA
pH,8.114,NA,8.114,NA,NA
pH,8.128,NA,8.128,NA,NA
pH,8.135,NA,8.135,NA,NA
pH,8.142,NA,8.142,NA,NA
pH,8.15,NA,8.15,NA,NA
pH,8.154,NA,8.154,NA,NA
pH,8.194,NA,8.194,NA,NA
percent_sgd,0.310077519,NA,0.310077519,NA,NA
percent_sgd,0.328165375,NA,0.328165375,NA,NA
percent_sgd,0.335917313,NA,0.335917313,NA,NA
percent_sgd,0.343669251,NA,0.343669251,NA,NA
percent_sgd,0.355297158,NA,0.355297158,NA,NA
percent_sgd,0.375968992,NA,0.375968992,NA,NA
percent_sgd,0.38630491,NA,0.38630491,NA,NA
percent_sgd,0.388888889,NA,0.388888889,NA,NA
percent_sgd,0.395348837,NA,0.395348837,NA,NA
percent_sgd,0.403100775,NA,0.403100775,NA,NA
percent_sgd,0.405684755,NA,0.405684755,NA,NA
percent_sgd,0.409560724,NA,0.409560724,NA,NA
percent_sgd,0.410852713,NA,0.410852713,NA,NA
percent_sgd,0.416020672,NA,0.416020672,NA,NA
percent_sgd,0.419896641,NA,0.419896641,NA,NA
percent_sgd,0.42118863,NA,0.42118863,NA,NA
percent_sgd,0.432816537,NA,0.432816537,NA,NA
percent_sgd,0.440568475,NA,0.440568475,NA,NA
percent_sgd,0.447028424,NA,0.447028424,NA,NA
percent_sgd,0.456072351,NA,0.456072351,NA,NA
percent_sgd,0.458656331,NA,0.458656331,NA,NA
percent_sgd,0.45994832,NA,0.45994832,NA,NA
percent_sgd,0.466408269,NA,0.466408269,NA,NA
percent_sgd,0.480620155,NA,0.480620155,NA,NA
percent_sgd,0.485788114,NA,0.485788114,NA,NA
percent_sgd,0.494832041,NA,0.494832041,NA,NA
percent_sgd,0.510335917,NA,0.510335917,NA,NA
percent_sgd,0.515503876,NA,0.515503876,NA,NA
percent_sgd,0.521963824,NA,0.521963824,NA,NA
percent_sgd,0.523255814,NA,0.523255814,NA,NA
percent_sgd,0.54005168,NA,0.54005168,NA,NA
percent_sgd,0.546511628,NA,0.546511628,NA,NA
percent_sgd,0.57622739,NA,0.57622739,NA,NA
percent_sgd,0.57881137,NA,0.57881137,NA,NA
percent_sgd,0.603359173,NA,0.603359173,NA,NA
percent_sgd,0.651162791,NA,0.651162791,NA,NA
percent_sgd,0.673126615,NA,0.673126615,NA,NA
percent_sgd,0.683462532,NA,0.683462532,NA,NA
percent_sgd,0.701550388,NA,0.701550388,NA,NA
percent_sgd,0.715762274,NA,0.715762274,NA,NA
percent_sgd,0.746770026,NA,0.746770026,NA,NA
percent_sgd,0.850129199,NA,0.850129199,NA,NA
percent_sgd,0.88501292,NA,0.88501292,NA,NA
percent_sgd,0.968992248,NA,0.968992248,NA,NA
percent_sgd,0.980620155,NA,0.980620155,NA,NA
percent_sgd,0.992248062,NA,0.992248062,NA,NA
percent_sgd,1.357881137,NA,1.357881137,NA,NA
percent_sgd,1.392764858,NA,1.392764858,NA,NA
percent_sgd,1.943152455,NA,1.943152455,NA,NA
percent_sgd,1.985788114,NA,1.985788114,NA,NA
percent_sgd,2.264857881,NA,2.264857881,NA,NA
percent_sgd,2.984496124,NA,2.984496124,NA,NA
percent_sgd,3.059431525,NA,3.059431525,NA,NA
percent_sgd,5.77002584,NA,5.77002584,NA,NA
percent_sgd,5.927648579,NA,5.927648579,NA,NA
percent_sgd,6.675710594,NA,6.675710594,NA,NA
percent_sgd,6.822997416,NA,6.822997416,NA,NA
percent_sgd,7.275193798,NA,7.275193798,NA,NA
percent_sgd,7.559431525,NA,7.559431525,NA,NA
percent_sgd,16.33979328,NA,16.33979328,NA,NA
percent_sgd,19.55684755,NA,19.55684755,NA,NA
Phosphate,0.17,NA,NA,0.17,NA
Phosphate,0.18,NA,NA,0.18,0.18
Salinity,34.59459074,NA,NA,34.59459074,NA
Salinity,34.61041242,NA,NA,34.61041242,NA
Salinity,34.62139969,NA,NA,34.62139969,NA
Silicate,1.36,NA,NA,1.36,NA
Silicate,1.61,NA,NA,1.61,NA
Silicate,1.97,NA,NA,1.97,NA
TA,2258.053746,NA,NA,2258.053746,NA
TA,2270.824438,NA,NA,2270.824438,NA
TA,2274.315854,NA,NA,2274.315854,NA
TA,2278.659129,NA,NA,2278.659129,NA
TA,2280.792107,NA,NA,2280.792107,NA
TA,2294.499484,NA,NA,2294.499484,NA
Temp_in,24.12984958,NA,NA,24.12984958,NA
Temp_in,24.43115441,NA,NA,24.43115441,NA
Temp_in,24.60358254,NA,NA,24.60358254,NA
pH,7.955,NA,NA,7.955,NA
pH,7.975,NA,NA,7.975,NA
percent_sgd,0.175710594,NA,NA,0.175710594,NA
percent_sgd,0.208010336,NA,NA,0.208010336,NA
percent_sgd,0.254521964,NA,NA,0.254521964,NA
NN,0.44,NA,NA,NA,0.44
NN,0.79,NA,NA,NA,0.79
NN,1.02,NA,NA,NA,1.02
NN,1.2,NA,NA,NA,1.2
NN,1.36,NA,NA,NA,1.36
NN,1.4,NA,NA,NA,1.4
NN,2.34,NA,NA,NA,2.34
NN,2.45,NA,NA,NA,2.45
NN,2.77,NA,NA,NA,2.77
NN,3.37,NA,NA,NA,3.37
NN,4.08,NA,NA,NA,4.08
NN,5.83,NA,NA,NA,5.83
NN,6.98,NA,NA,NA,6.98
NN,7.29,NA,NA,NA,7.29
NN,7.92,NA,NA,NA,7.92
NN,11.69,NA,NA,NA,11.69
Phosphate,0.25,NA,NA,NA,0.25
Phosphate,0.27,NA,NA,NA,0.27
Phosphate,0.31,NA,NA,NA,0.31
Phosphate,0.36,NA,NA,NA,0.36
Phosphate,0.38,NA,NA,NA,0.38
Phosphate,0.54,NA,NA,NA,0.54
Phosphate,0.62,NA,NA,NA,0.62
Salinity,25.96034904,NA,NA,NA,25.96034904
Salinity,27.7402879,NA,NA,NA,27.7402879
Salinity,28.02024372,NA,NA,NA,28.02024372
Salinity,28.37007862,NA,NA,NA,28.37007862
Salinity,29.68899134,NA,NA,NA,29.68899134
Salinity,30.53896708,NA,NA,NA,30.53896708
Salinity,30.6119226,NA,NA,NA,30.6119226
Salinity,31.27467514,NA,NA,NA,31.27467514
Salinity,31.50277101,NA,NA,NA,31.50277101
Salinity,32.33384864,NA,NA,NA,32.33384864
Salinity,32.73334603,NA,NA,NA,32.73334603
Salinity,32.82124424,NA,NA,NA,32.82124424
Salinity,33.12097716,NA,NA,NA,33.12097716
Salinity,33.16097084,NA,NA,NA,33.16097084
Salinity,33.73670416,NA,NA,NA,33.73670416
Salinity,33.76834751,NA,NA,NA,33.76834751
Salinity,34.06104857,NA,NA,NA,34.06104857
Salinity,34.25750108,NA,NA,NA,34.25750108
Salinity,34.29002342,NA,NA,NA,34.29002342
Salinity,34.3599025,NA,NA,NA,34.3599025
Salinity,34.36561589,NA,NA,NA,34.36561589
Salinity,34.39330382,NA,NA,NA,34.39330382
Salinity,34.41527838,NA,NA,NA,34.41527838
Salinity,34.42099176,NA,NA,NA,34.42099176
Salinity,34.42582616,NA,NA,NA,34.42582616
Salinity,34.43945039,NA,NA,NA,34.43945039
Salinity,34.4438453,NA,NA,NA,34.4438453
Salinity,34.48076255,NA,NA,NA,34.48076255
Salinity,34.4882339,NA,NA,NA,34.4882339
Salinity,34.48867339,NA,NA,NA,34.48867339
Salinity,34.49658423,NA,NA,NA,34.49658423
Salinity,34.50669252,NA,NA,NA,34.50669252
Silicate,3.97,NA,NA,NA,3.97
Silicate,4.2,NA,NA,NA,4.2
Silicate,4.38,NA,NA,NA,4.38
Silicate,4.39,NA,NA,NA,4.39
Silicate,4.56,NA,NA,NA,4.56
Silicate,5.4,NA,NA,NA,5.4
Silicate,5.5,NA,NA,NA,5.5
Silicate,5.81,NA,NA,NA,5.81
Silicate,5.92,NA,NA,NA,5.92
Silicate,6.05,NA,NA,NA,6.05
Silicate,6.55,NA,NA,NA,6.55
Silicate,7.18,NA,NA,NA,7.18
Silicate,7.31,NA,NA,NA,7.31
Silicate,8.9,NA,NA,NA,8.9
Silicate,9.64,NA,NA,NA,9.64
Silicate,14.11,NA,NA,NA,14.11
Silicate,20.77,NA,NA,NA,20.77
Silicate,21.49,NA,NA,NA,21.49
Silicate,34.59,NA,NA,NA,34.59
Silicate,35.5,NA,NA,NA,35.5
Silicate,42.32,NA,NA,NA,42.32
Silicate,44.32,NA,NA,NA,44.32
Silicate,53.41,NA,NA,NA,53.41
Silicate,72.32,NA,NA,NA,72.32
Silicate,77.51,NA,NA,NA,77.51
Silicate,92.59,NA,NA,NA,92.59
Silicate,94.25,NA,NA,NA,94.25
Silicate,113.59,NA,NA,NA,113.59
Silicate,143.6,NA,NA,NA,143.6
Silicate,151.56,NA,NA,NA,151.56
Silicate,157.93,NA,NA,NA,157.93
Silicate,198.43,NA,NA,NA,198.43
TA,2133.421493,NA,NA,NA,2133.421493
TA,2145.827701,NA,NA,NA,2145.827701
TA,2155.302454,NA,NA,NA,2155.302454
TA,2161.48229,NA,NA,NA,2161.48229
TA,2180.930839,NA,NA,NA,2180.930839
TA,2199.619975,NA,NA,NA,2199.619975
TA,2205.1881,NA,NA,NA,2205.1881
TA,2219.095298,NA,NA,NA,2219.095298
TA,2219.583262,NA,NA,NA,2219.583262
TA,2220.053441,NA,NA,NA,2220.053441
TA,2226.132597,NA,NA,NA,2226.132597
TA,2233.751992,NA,NA,NA,2233.751992
TA,2239.324994,NA,NA,NA,2239.324994
TA,2240.358874,NA,NA,NA,2240.358874
TA,2244.213993,NA,NA,NA,2244.213993
TA,2245.104438,NA,NA,NA,2245.104438
TA,2245.963283,NA,NA,NA,2245.963283
TA,2249.618001,NA,NA,NA,2249.618001
TA,2254.795338,NA,NA,NA,2254.795338
TA,2255.300778,NA,NA,NA,2255.300778
TA,2257.264212,NA,NA,NA,2257.264212
TA,2262.677419,NA,NA,NA,2262.677419
TA,2264.306252,NA,NA,NA,2264.306252
TA,2266.715279,NA,NA,NA,2266.715279
TA,2269.134251,NA,NA,NA,2269.134251
TA,2272.39081,NA,NA,NA,2272.39081
TA,2274.697509,NA,NA,NA,2274.697509
TA,2289.427426,NA,NA,NA,2289.427426
TA,2294.627259,NA,NA,NA,2294.627259
TA,2317.859168,NA,NA,NA,2317.859168
TA,2329.60589,NA,NA,NA,2329.60589
TA,2336.320198,NA,NA,NA,2336.320198
Temp_in,22.63449814,NA,NA,NA,22.63449814
Temp_in,23.31951534,NA,NA,NA,23.31951534
Temp_in,23.42893972,NA,NA,NA,23.42893972
Temp_in,23.47183421,NA,NA,NA,23.47183421
Temp_in,23.53255956,NA,NA,NA,23.53255956
Temp_in,23.55377558,NA,NA,NA,23.55377558
Temp_in,23.556481,NA,NA,NA,23.556481
Temp_in,23.68898041,NA,NA,NA,23.68898041
Temp_in,23.75505834,NA,NA,NA,23.75505834
Temp_in,23.76412004,NA,NA,NA,23.76412004
Temp_in,23.84408,NA,NA,NA,23.84408
Temp_in,24.01982367,NA,NA,NA,24.01982367
Temp_in,24.17257622,NA,NA,NA,24.17257622
Temp_in,24.4424524,NA,NA,NA,24.4424524
Temp_in,24.81139318,NA,NA,NA,24.81139318
Temp_in,24.83646091,NA,NA,NA,24.83646091
Temp_in,24.9418639,NA,NA,NA,24.9418639
Temp_in,25.09458918,NA,NA,NA,25.09458918
Temp_in,25.20243729,NA,NA,NA,25.20243729
Temp_in,25.26714707,NA,NA,NA,25.26714707
Temp_in,25.321412810000002,NA,NA,NA,25.321412810000002
Temp_in,25.33238243,NA,NA,NA,25.33238243
Temp_in,25.39966468,NA,NA,NA,25.39966468
Temp_in,25.46666036,NA,NA,NA,25.46666036
Temp_in,25.62518103,NA,NA,NA,25.62518103
Temp_in,25.68967338,NA,NA,NA,25.68967338
Temp_in,25.88280725,NA,NA,NA,25.88280725
Temp_in,25.90683954,NA,NA,NA,25.90683954
Temp_in,26.89176305,NA,NA,NA,26.89176305
Temp_in,27.12962167,NA,NA,NA,27.12962167
Temp_in,27.19561155,NA,NA,NA,27.19561155
Temp_in,27.88902331,NA,NA,NA,27.88902331
pH,7.845,NA,NA,NA,7.845
pH,7.861,NA,NA,NA,7.861
pH,7.909,NA,NA,NA,7.909
pH,7.91,NA,NA,NA,7.91
pH,7.917,NA,NA,NA,7.917
pH,7.961,NA,NA,NA,7.961
pH,7.965,NA,NA,NA,7.965
pH,7.981,NA,NA,NA,7.981
pH,7.998,NA,NA,NA,7.998
pH,8.006,NA,NA,NA,8.006
pH,8.063,NA,NA,NA,8.063
pH,8.078,NA,NA,NA,8.078
pH,8.098,NA,NA,NA,8.098
pH,8.129,NA,NA,NA,8.129
pH,8.147,NA,NA,NA,8.147
pH,8.149,NA,NA,NA,8.149
pH,8.173,NA,NA,NA,8.173
pH,8.192,NA,NA,NA,8.192
percent_sgd,0.512919897,NA,NA,NA,0.512919897
percent_sgd,0.542635659,NA,NA,NA,0.542635659
percent_sgd,0.565891473,NA,NA,NA,0.565891473
percent_sgd,0.567183463,NA,NA,NA,0.567183463
percent_sgd,0.589147287,NA,NA,NA,0.589147287
percent_sgd,0.697674419,NA,NA,NA,0.697674419
percent_sgd,0.710594315,NA,NA,NA,0.710594315
percent_sgd,0.750645995,NA,NA,NA,0.750645995
percent_sgd,0.764857881,NA,NA,NA,0.764857881
percent_sgd,0.781653747,NA,NA,NA,0.781653747
percent_sgd,0.84625323,NA,NA,NA,0.84625323
percent_sgd,0.927648579,NA,NA,NA,0.927648579
percent_sgd,0.944444444,NA,NA,NA,0.944444444
percent_sgd,1.149870801,NA,NA,NA,1.149870801
percent_sgd,1.245478036,NA,NA,NA,1.245478036
percent_sgd,1.822997416,NA,NA,NA,1.822997416
percent_sgd,2.683462532,NA,NA,NA,2.683462532
percent_sgd,2.776485788,NA,NA,NA,2.776485788
percent_sgd,4.468992248,NA,NA,NA,4.468992248
percent_sgd,4.586563307,NA,NA,NA,4.586563307
percent_sgd,5.467700258,NA,NA,NA,5.467700258
percent_sgd,5.726098191,NA,NA,NA,5.726098191
percent_sgd,6.900516796,NA,NA,NA,6.900516796
percent_sgd,9.343669251,NA,NA,NA,9.343669251
percent_sgd,10.01421189,NA,NA,NA,10.01421189
percent_sgd,11.9625323,NA,NA,NA,11.9625323
percent_sgd,12.17700258,NA,NA,NA,12.17700258
percent_sgd,14.67571059,NA,NA,NA,14.67571059
percent_sgd,18.55297158,NA,NA,NA,18.55297158
percent_sgd,19.58139535,NA,NA,NA,19.58139535
percent_sgd,20.40439276,NA,NA,NA,20.40439276
percent_sgd,25.6369509,NA,NA,NA,25.6369509
